# Plataforma: APPCR Muelle CC
# Tipo: Estación Meteorológica
# Periodo: 2025-08-01 / 2025-08-31
# Generado: 2026-05-07 14:50:59 UTC
# Timestamps: 2496  Variables: 9
# Separador: TAB  |  Valor ausente: NaN
timestamp	Bar[hPa]	Dew Point Out[°C]	Heat Index Out[°C]	Rainfall Clicks[muestras]	Temp In[°C]	Temp Out[°C]	Wind Chill[°C]	Wind Dir Of Prevail[°]	Wind Speed Avg[km/h]
2025-08-27 18:22:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:23:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:30:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:31:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:32:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:33:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:40:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:41:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:42:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:43:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:50:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:51:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:52:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 18:53:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:00:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:01:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:02:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:03:03	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:10:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:11:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:12:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:13:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:20:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:21:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:22:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:23:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:30:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:31:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:32:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:33:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:40:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:41:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:42:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:43:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:50:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:51:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:52:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 19:53:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:00:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:01:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:02:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:03:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:10:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:11:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:12:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:13:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:20:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:21:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:22:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:23:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:30:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:31:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:32:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:33:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:40:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:41:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:42:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:43:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:50:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:51:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:52:06	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 20:53:06	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 21:00:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 21:01:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 21:02:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 21:03:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 21:10:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 21:11:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 21:12:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 21:13:02	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 21:20:00	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
2025-08-27 21:21:01	991.06	255.0	255.0	0.0	18.56	-90.0	-154.0	240.0	57.92
