# Plataforma: Boya CIDMAR-2
# Tipo: Boya Oceanográfica
# Periodo: 2026-03-01 / 2026-03-31
# Generado: 2026-05-07 14:51:22 UTC
# Timestamps: 4464  Variables: 7
# Separador: TAB  |  Valor ausente: NaN
timestamp	Altura de Olas[m]	Batería[V]	Dirección de la corriente[°]	Dirección de Olas[°]	Periodo de Olas[s]	Radiación PAR[µmol/m2/s]	Velocidad de la corriente[m/s]
2026-03-01 00:00:00	0.26	12.92	177.0	73.0	6.8	0.0	0.0
2026-03-01 00:10:00	0.3	12.89	157.0	236.0	7.1	0.0	0.0
2026-03-01 00:20:00	0.26	12.92	144.0	41.0	3.63	0.0	0.0
2026-03-01 00:30:00	0.32	12.92	145.0	217.0	6.2	0.0	0.0
2026-03-01 00:40:00	0.29	12.89	139.0	9.0	5.74	0.0	0.0
2026-03-01 00:50:00	0.44	12.91	133.0	219.0	4.23	0.0	0.0
2026-03-01 01:00:00	0.18	12.91	132.0	179.0	8.01	0.0	0.0
2026-03-01 01:10:00	0.44	12.89	135.0	357.0	7.71	0.0	0.0
2026-03-01 01:20:00	0.35	12.91	134.0	4.0	7.56	0.0	0.0
2026-03-01 01:30:00	0.26	12.91	145.0	192.0	4.08	0.0	0.0
2026-03-01 01:40:00	0.39	12.88	150.0	199.0	4.84	0.0	0.0
2026-03-01 01:50:00	0.45	12.91	148.0	192.0	6.05	0.0	0.0
2026-03-01 02:00:00	0.3	12.89	136.0	192.0	4.99	0.0	0.0
2026-03-01 02:10:00	0.35	12.88	146.0	168.0	5.59	0.0	0.0
2026-03-01 02:20:00	0.45	12.89	138.0	50.0	6.05	0.0	0.0
2026-03-01 02:30:00	0.39	12.89	120.0	224.0	5.14	0.0	0.0
2026-03-01 02:40:00	0.27	12.86	131.0	202.0	4.23	0.0	0.0
2026-03-01 02:50:00	0.53	12.88	131.0	222.0	6.5	0.0	0.0
2026-03-01 03:00:00	0.6	12.88	134.0	200.0	7.25	0.0	0.0
2026-03-01 03:10:00	0.44	12.86	125.0	226.0	4.99	0.0	0.0
