# Plataforma: Boya CIDMAR-2
# Tipo: Boya Oceanográfica
# Periodo: 2026-01-01 / 2026-01-31
# Generado: 2026-05-07 14:51:15 UTC
# Timestamps: 4464  Variables: 7
# Separador: TAB  |  Valor ausente: NaN
timestamp	Altura de Olas[m]	Batería[V]	Dirección de la corriente[°]	Dirección de Olas[°]	Periodo de Olas[s]	Radiación PAR[µmol/m2/s]	Velocidad de la corriente[m/s]
2026-01-01 00:00:00	1.15	12.89	357.0	79.0	8.62	0.0	0.0
2026-01-01 00:10:00	1.13	12.89	332.0	51.0	8.46	0.0	0.0
2026-01-01 00:20:00	1.36	12.91	305.0	9.0	9.67	0.0	0.0
2026-01-01 00:30:00	1.15	12.92	145.0	38.0	8.77	0.0	0.0
2026-01-01 00:40:00	1.15	12.91	152.0	38.0	8.16	0.0	0.0
2026-01-01 00:50:00	1.25	12.92	118.0	359.0	10.28	0.0	0.0
2026-01-01 01:00:00	1.38	12.92	127.0	312.0	10.43	0.0	0.0
2026-01-01 01:10:00	0.8	12.91	112.0	326.0	7.1	0.0	0.0
2026-01-01 01:20:00	0.94	12.92	105.0	0.0	8.62	0.0	0.0
2026-01-01 01:30:00	1.22	12.92	106.0	343.0	9.37	0.0	0.0
2026-01-01 01:40:00	1.28	12.89	114.0	272.0	9.82	0.0	0.0
2026-01-01 01:50:00	1.12	12.92	105.0	325.0	8.46	0.0	0.0
2026-01-01 02:00:00	0.98	12.91	109.0	319.0	8.46	0.0	0.0
2026-01-01 02:10:00	0.83	12.89	114.0	340.0	8.77	0.0	0.0
2026-01-01 02:20:00	0.92	12.91	106.0	314.0	8.16	0.0	0.0
2026-01-01 02:30:00	1.09	12.91	98.0	310.0	9.22	0.0	0.0
2026-01-01 02:40:00	0.83	12.88	107.0	318.0	8.62	0.0	0.0
2026-01-01 02:50:00	1.03	12.89	105.0	341.0	9.98	0.0	0.0
2026-01-01 03:00:00	0.97	12.89	106.0	338.0	8.31	0.0	0.0
2026-01-01 03:10:00	1.03	12.86	114.0	182.0	8.92	0.0	0.0
2026-01-01 03:20:00	0.92	12.88	119.0	353.0	8.92	0.0	0.0
2026-01-01 03:30:00	0.85	12.88	120.0	20.0	8.62	0.0	0.0
2026-01-01 03:40:00	0.74	12.85	128.0	188.0	8.77	0.0	0.0
2026-01-01 03:50:00	0.94	12.86	112.0	289.0	9.22	0.0	0.0
2026-01-01 04:00:00	0.88	12.86	105.0	330.0	8.16	0.0	0.0
2026-01-01 04:10:00	1.0	12.83	103.0	276.0	9.07	0.0	0.0
2026-01-01 04:20:00	1.22	12.85	85.0	354.0	9.82	0.0	0.0
2026-01-01 04:30:00	0.79	12.83	65.0	357.0	7.41	0.0	0.0
2026-01-01 04:40:00	1.0	12.8	103.0	260.0	9.37	0.0	0.0
2026-01-01 04:50:00	0.83	12.82	89.0	277.0	9.98	0.0	0.0
2026-01-01 05:00:00	0.74	12.82	260.0	73.0	9.07	0.0	0.0
2026-01-01 05:10:00	1.01	12.79	306.0	300.0	8.31	0.0	0.0
2026-01-01 05:20:00	0.94	12.82	336.0	318.0	8.92	0.0	0.0
2026-01-01 05:30:00	0.74	12.8	310.0	356.0	7.86	0.0	0.0
2026-01-01 05:40:00	0.79	12.77	316.0	4.0	8.31	0.0	0.0
2026-01-01 05:50:00	0.76	12.82	317.0	153.0	6.65	4.0	0.0
2026-01-01 06:00:00	0.74	12.86	318.0	320.0	6.5	26.0	0.0
2026-01-01 06:10:00	0.98	12.88	309.0	25.0	10.88	26.0	0.0
2026-01-01 06:20:00	0.92	12.89	317.0	201.0	6.95	42.0	0.0
2026-01-01 06:30:00	0.86	12.95	310.0	228.0	5.14	102.0	0.0
2026-01-01 06:40:00	0.98	13.09	292.0	215.0	6.5	193.0	0.0
2026-01-01 06:50:00	1.06	13.29	313.0	223.0	7.71	345.0	0.0
2026-01-01 07:00:00	0.92	13.41	325.0	219.0	6.5	129.0	0.0
2026-01-01 07:10:00	0.79	13.65	301.0	232.0	6.8	431.0	0.0
2026-01-01 07:20:00	0.88	13.62	324.0	344.0	6.65	361.0	0.0
2026-01-01 07:30:00	0.91	13.75	306.0	209.0	7.1	453.0	0.0
2026-01-01 07:40:00	0.88	13.75	310.0	201.0	11.34	663.0	0.0
2026-01-01 07:50:00	1.01	13.98	299.0	214.0	7.41	679.0	0.0
2026-01-01 08:00:00	0.97	14.13	291.0	208.0	7.71	566.0	0.0
2026-01-01 08:10:00	0.86	14.24	288.0	197.0	6.35	836.0	0.0
