# Plataforma: Boya CIDMAR-2
# Tipo: Boya Oceanográfica
# Periodo: 2025-08-01 / 2025-08-31
# Generado: 2026-05-07 14:50:57 UTC
# Timestamps: 11124  Variables: 7
# Separador: TAB  |  Valor ausente: NaN
timestamp	Altura de Olas[m]	Batería[V]	Dirección de la corriente[°]	Dirección de Olas[°]	Periodo de Olas[s]	Radiación PAR[µmol/m2/s]	Velocidad de la corriente[m/s]
2025-08-01 00:00:00	0.5	12.92	281.0	346.0	8.46	0.0	0.0
2025-08-01 00:00:28	3.3333333333333335	996.8854881999999	0.89408	9.444444444444445	9.444444444444445	235.0	0.89408
2025-08-01 00:05:32	3.3333333333333335	996.9532160000001	1.34112	9.444444444444445	9.444444444444445	219.0	2.2352
2025-08-01 00:10:00	0.56	12.92	276.0	256.0	10.88	0.0	0.0
2025-08-01 00:10:38	3.3333333333333335	996.8854881999999	1.78816	8.88888888888889	9.444444444444445	222.0	1.78816
2025-08-01 00:15:43	3.3333333333333335	997.0209438	1.78816	8.88888888888889	9.444444444444445	221.0	1.78816
2025-08-01 00:20:00	0.62	12.89	291.0	357.0	9.98	0.0	0.0
2025-08-01 00:20:52	3.3333333333333335	997.0209438	1.78816	8.88888888888889	9.444444444444445	222.0	1.78816
2025-08-01 00:25:04	3.3333333333333335	996.9870799	1.78816	8.88888888888889	9.444444444444445	229.0	1.78816
2025-08-01 00:30:00	0.51	12.94	285.0	178.0	10.88	0.0	0.0
2025-08-01 00:30:08	3.3333333333333335	997.0548077000001	1.78816	8.88888888888889	9.444444444444445	229.0	1.34112
2025-08-01 00:35:26	3.3333333333333335	997.0548077000001	1.78816	8.88888888888889	9.444444444444445	222.0	1.78816
2025-08-01 00:40:00	0.6	12.94	292.0	353.0	9.52	0.0	0.0
2025-08-01 00:40:34	3.3333333333333335	996.9870799	1.34112	9.444444444444445	8.88888888888889	215.0	2.2352
2025-08-01 00:45:38	3.3333333333333335	996.9870799	1.78816	8.88888888888889	8.88888888888889	204.0	1.34112
2025-08-01 00:50:00	0.59	12.91	280.0	333.0	10.28	0.0	0.0
2025-08-01 00:50:48	3.3333333333333335	997.1902633	2.2352	8.333333333333334	8.88888888888889	210.0	1.34112
2025-08-01 00:55:52	3.3333333333333335	997.2241272	2.2352	8.333333333333334	8.88888888888889	224.0	2.2352
2025-08-01 01:00:00	0.57	12.92	280.0	320.0	11.03	0.0	0.0
2025-08-01 01:00:02	3.3333333333333335	997.1225355	1.78816	8.333333333333334	8.88888888888889	226.0	2.68224
2025-08-01 01:05:13	2.7777777777777777	997.1902633	1.78816	8.333333333333334	8.88888888888889	226.0	1.34112
2025-08-01 01:10:00	0.54	12.92	267.0	356.0	10.58	0.0	0.0
2025-08-01 01:10:26	2.7777777777777777	997.4611745	1.78816	8.333333333333334	8.88888888888889	228.0	1.78816
2025-08-01 01:15:35	2.7777777777777777	997.4950384	1.34112	8.88888888888889	8.88888888888889	229.0	0.89408
2025-08-01 01:20:00	0.65	12.91	274.0	320.0	11.49	0.0	0.0
2025-08-01 01:20:44	2.7777777777777777	997.6304940000001	0.44704	8.88888888888889	8.333333333333334	229.0	0.89408
2025-08-01 01:25:56	2.7777777777777777	997.6304940000001	0.0	8.88888888888889	8.333333333333334	229.0	0.44704
2025-08-01 01:30:00	0.51	12.91	279.0	204.0	10.28	0.0	0.0
2025-08-01 01:30:04	2.7777777777777777	997.6643579	0.44704	8.88888888888889	8.333333333333334	229.0	0.44704
2025-08-01 01:35:26	2.7777777777777777	997.8675413	0.44704	8.88888888888889	8.333333333333334	229.0	0.0
2025-08-01 01:40:00	0.6	12.91	244.0	167.0	11.34	0.0	0.0
2025-08-01 01:40:42	2.7777777777777777	997.8336774	0.0	8.88888888888889	8.333333333333334	229.0	0.0
2025-08-01 01:45:46	2.7777777777777777	997.9691329999999	0.0	8.88888888888889	8.333333333333334	229.0	0.0
2025-08-01 01:50:00	0.62	12.88	189.0	159.0	10.58	0.0	0.0
2025-08-01 01:50:50	2.7777777777777777	997.9691329999999	0.0	8.88888888888889	8.333333333333334	229.0	0.0
2025-08-01 01:55:03	2.7777777777777777	998.0368608000001	0.0	8.88888888888889	8.333333333333334	229.0	0.0
2025-08-01 02:00:00	0.65	12.92	183.0	118.0	10.43	0.0	0.0
2025-08-01 02:00:08	2.7777777777777777	998.0707247	0.44704	8.88888888888889	8.333333333333334	229.0	0.44704
2025-08-01 02:05:22	2.7777777777777777	998.1384525000001	0.44704	8.88888888888889	8.333333333333334	229.0	0.0
2025-08-01 02:10:00	0.48	12.92	168.0	234.0	10.28	0.0	0.0
2025-08-01 02:10:28	2.7777777777777777	998.2400442	0.0	8.88888888888889	8.333333333333334	229.0	0.0
2025-08-01 02:15:36	2.7777777777777777	998.307772	0.0	8.88888888888889	8.333333333333334	185.0	0.89408
2025-08-01 02:20:00	0.42	12.89	171.0	194.0	8.62	0.0	0.0
2025-08-01 02:20:53	2.7777777777777777	998.3416359000001	0.89408	8.88888888888889	8.333333333333334	200.0	1.34112
2025-08-01 02:25:04	2.7777777777777777	998.307772	1.34112	7.777777777777778	7.777777777777778	201.0	1.34112
2025-08-01 02:30:00	0.56	12.91	189.0	285.0	10.28	0.0	0.0
2025-08-01 02:30:10	2.2222222222222223	998.2400442	1.34112	7.777777777777778	7.777777777777778	214.0	0.89408
2025-08-01 02:35:20	1.6666666666666667	998.2739081	0.44704	7.777777777777778	7.222222222222222	214.0	0.0
