# Plataforma: Boya CIDMAR-2
# Tipo: Boya Oceanográfica
# Periodo: 2025-06-01 / 2025-06-30
# Generado: 2026-05-07 14:50:52 UTC
# Timestamps: 4320  Variables: 7
# Separador: TAB  |  Valor ausente: NaN
timestamp	Altura de Olas[m]	Batería[V]	Dirección de la corriente[°]	Dirección de Olas[°]	Periodo de Olas[s]	Radiación PAR[µmol/m2/s]	Velocidad de la corriente[m/s]
2025-06-01 00:00:00	0.51	12.94	339.0	190.0	5.74	0.0	0.0
2025-06-01 00:10:00	0.42	12.94	337.0	241.0	4.08	0.0	0.0
2025-06-01 00:20:00	0.39	12.92	336.0	246.0	4.23	0.0	0.0
2025-06-01 00:30:00	0.42	12.94	324.0	223.0	4.23	0.0	0.0
2025-06-01 00:40:00	0.33	12.94	307.0	193.0	3.93	0.0	0.0
2025-06-01 00:50:00	0.33	12.92	323.0	164.0	4.38	0.0	0.0
2025-06-01 01:00:00	0.38	12.94	0.0	275.0	3.93	0.0	0.0
2025-06-01 01:10:00	0.47	12.94	347.0	201.0	4.23	0.0	0.0
2025-06-01 01:20:00	0.45	12.91	23.0	226.0	4.08	0.0	0.0
2025-06-01 01:30:00	0.47	12.94	11.0	264.0	4.08	0.0	0.0
2025-06-01 01:40:00	0.53	12.92	9.0	257.0	4.69	0.0	0.0
2025-06-01 01:50:00	0.38	12.91	3.0	312.0	4.08	0.0	0.0
2025-06-01 02:00:00	0.5	12.92	6.0	89.0	4.23	0.0	0.0
2025-06-01 02:10:00	0.48	12.92	15.0	294.0	4.08	0.0	0.0
2025-06-01 02:20:00	0.41	12.89	20.0	298.0	3.93	0.0	0.0
2025-06-01 02:30:00	0.5	12.92	11.0	287.0	4.99	0.0	0.0
2025-06-01 02:40:00	0.48	12.92	9.0	210.0	4.23	0.0	0.0
2025-06-01 02:50:00	0.51	12.89	22.0	220.0	3.93	0.0	0.0
2025-06-01 03:00:00	0.76	12.91	190.0	55.0	5.74	0.0	0.0
2025-06-01 03:10:00	0.83	12.91	352.0	277.0	4.99	0.0	0.0
2025-06-01 03:20:00	0.53	12.89	47.0	297.0	5.14	0.0	0.0
2025-06-01 03:30:00	0.8	12.91	200.0	279.0	4.69	0.0	0.0
2025-06-01 03:40:00	0.67	12.91	65.0	288.0	5.14	0.0	0.0
2025-06-01 03:50:00	0.57	12.88	336.0	281.0	4.53	0.0	0.0
2025-06-01 04:00:00	0.71	12.91	169.0	267.0	5.14	0.0	0.0
2025-06-01 04:10:00	0.68	12.89	200.0	285.0	4.38	0.0	0.0
2025-06-01 04:20:00	0.45	12.85	294.0	236.0	4.23	0.0	0.0
2025-06-01 04:30:00	0.44	12.89	355.0	174.0	3.93	0.0	0.0
2025-06-01 04:40:00	0.65	12.89	353.0	218.0	4.23	0.0	0.0
2025-06-01 04:50:00	0.51	12.86	251.0	242.0	4.53	0.0	0.0
2025-06-01 05:00:00	0.3	12.88	201.0	70.0	4.08	0.0	0.0
2025-06-01 05:10:00	0.35	12.88	224.0	240.0	4.53	0.0	0.0
2025-06-01 05:20:00	0.32	12.85	115.0	52.0	4.23	0.0	0.0
2025-06-01 05:30:00	0.38	12.88	146.0	285.0	4.08	0.0	0.0
2025-06-01 05:40:00	0.32	12.86	174.0	64.0	3.78	0.0	0.0
2025-06-01 05:50:00	0.33	12.85	168.0	250.0	4.38	0.0	0.0
2025-06-01 06:00:00	0.42	12.86	164.0	248.0	3.63	0.0	0.0
2025-06-01 06:10:00	0.47	12.86	155.0	70.0	4.23	0.0	0.0
2025-06-01 06:20:00	0.56	12.83	168.0	222.0	4.08	0.0	0.0
2025-06-01 06:30:00	0.54	12.85	138.0	197.0	4.38	0.0	0.0
2025-06-01 06:40:00	0.56	12.85	170.0	268.0	4.38	0.0	0.0
2025-06-01 06:50:00	0.65	12.82	192.0	200.0	4.38	0.0	0.0
2025-06-01 07:00:00	0.71	12.83	6.0	271.0	4.84	0.0	0.0
2025-06-01 07:10:00	0.54	12.83	172.0	58.0	4.53	0.0	0.0
2025-06-01 07:20:00	0.48	12.8	198.0	172.0	4.84	0.0	0.0
2025-06-01 07:30:00	0.41	12.83	188.0	241.0	4.23	0.0	0.0
2025-06-01 07:40:00	0.48	12.82	139.0	225.0	4.99	0.0	0.0
2025-06-01 07:50:00	0.47	12.79	124.0	189.0	4.99	0.0	0.0
2025-06-01 08:00:00	0.41	12.82	105.0	135.0	4.08	0.0	0.0
