# Plataforma: Boya CIDMAR-2
# Tipo: Boya Oceanográfica
# Periodo: 2025-07-01 / 2025-07-31
# Generado: 2026-05-07 14:50:54 UTC
# Timestamps: 8840  Variables: 7
# Separador: TAB  |  Valor ausente: NaN
timestamp	Altura de Olas[m]	Batería[V]	Dirección de la corriente[°]	Dirección de Olas[°]	Periodo de Olas[s]	Radiación PAR[µmol/m2/s]	Velocidad de la corriente[m/s]
2025-07-01 00:00:00	0.6	12.92	298.0	206.0	11.49	0.0	0.0
2025-07-01 00:10:00	0.53	12.92	305.0	252.0	12.09	0.0	0.0
2025-07-01 00:20:00	0.38	12.91	295.0	2.0	9.52	0.0	0.0
2025-07-01 00:30:00	0.36	12.92	310.0	224.0	9.07	0.0	0.0
2025-07-01 00:40:00	0.27	12.92	308.0	195.0	6.35	0.0	0.0
2025-07-01 00:50:00	0.23	12.91	340.0	55.0	4.38	0.0	0.0
2025-07-01 01:00:00	0.21	12.91	324.0	55.0	4.84	0.0	0.0
2025-07-01 01:10:00	0.24	12.91	353.0	34.0	3.48	0.0	0.0
2025-07-01 01:20:00	0.32	12.88	329.0	39.0	6.5	0.0	0.0
2025-07-01 01:30:00	0.24	12.91	338.0	241.0	7.25	0.0	0.0
2025-07-01 01:40:00	0.48	12.91	332.0	157.0	9.52	0.0	0.0
2025-07-01 01:50:00	0.35	12.88	349.0	270.0	8.01	0.0	0.0
2025-07-01 02:00:00	0.35	12.91	358.0	107.0	10.13	0.0	0.0
2025-07-01 02:10:00	0.41	12.91	10.0	75.0	11.34	0.0	0.0
2025-07-01 02:20:00	0.3	12.89	30.0	285.0	9.98	0.0	0.0
2025-07-01 02:30:00	0.32	12.89	38.0	54.0	8.16	0.0	0.0
2025-07-01 02:40:00	0.2	12.89	30.0	87.0	7.41	0.0	0.0
2025-07-01 02:50:00	0.35	12.86	54.0	137.0	11.64	0.0	0.0
2025-07-01 03:00:00	0.24	12.89	44.0	51.0	5.74	0.0	0.0
2025-07-01 03:10:00	0.36	12.89	40.0	356.0	6.65	0.0	0.0
2025-07-01 03:20:00	0.29	12.88	17.0	61.0	8.01	0.0	0.0
2025-07-01 03:30:00	0.36	12.89	35.0	323.0	7.56	0.0	0.0
2025-07-01 03:40:00	0.2	12.89	18.0	341.0	3.02	0.0	0.0
2025-07-01 03:50:00	0.33	12.86	357.0	48.0	8.77	0.0	0.0
2025-07-01 04:00:00	0.36	12.89	17.0	304.0	6.5	0.0	0.0
2025-07-01 04:10:00	0.26	12.89	16.0	353.0	6.5	0.0	0.0
2025-07-01 04:20:00	0.32	12.86	31.0	337.0	7.41	0.0	0.0
2025-07-01 04:30:00	0.2	12.86	36.0	189.0	5.89	0.0	0.0
2025-07-01 04:40:00	0.3	12.86	15.0	0.0	8.62	0.0	0.0
2025-07-01 04:50:00	0.26	12.83	310.0	287.0	5.44	0.0	0.0
2025-07-01 05:00:00	0.3	12.85	304.0	9.0	6.5	0.0	0.0
2025-07-01 05:10:00	0.26	12.85	312.0	33.0	4.23	0.0	0.0
2025-07-01 05:20:00	0.18	12.83	301.0	12.0	3.63	0.0	0.0
2025-07-01 05:30:00	0.17	12.85	300.0	189.0	3.33	0.0	0.0
2025-07-01 05:40:00	0.18	12.85	287.0	217.0	4.23	0.0	0.0
2025-07-01 05:50:00	0.29	12.82	295.0	191.0	5.89	0.0	0.0
2025-07-01 06:00:00	0.36	12.83	301.0	199.0	8.77	0.0	0.0
2025-07-01 06:10:00	0.21	12.83	303.0	115.0	3.48	0.0	0.0
2025-07-01 06:20:00	0.3	12.8	292.0	202.0	7.25	0.0	0.0
2025-07-01 06:30:00	0.2	12.82	292.0	359.0	5.44	0.0	0.0
2025-07-01 06:40:00	0.36	12.82	282.0	179.0	6.8	0.0	0.0
2025-07-01 06:50:00	0.23	12.79	291.0	335.0	5.29	0.0	0.0
2025-07-01 07:00:00	0.17	12.83	285.0	195.0	3.48	0.0	0.0
2025-07-01 07:10:00	0.24	12.83	289.0	135.0	3.17	0.0	0.0
2025-07-01 07:20:00	0.26	12.8	277.0	201.0	3.93	0.0	0.0
2025-07-01 07:30:00	0.3	12.8	281.0	126.0	6.2	0.0	0.0
2025-07-01 07:40:00	0.27	12.8	253.0	62.0	3.78	0.0	0.0
2025-07-01 07:50:00	0.14	12.77	251.0	38.0	2.87	0.0	0.0
2025-07-01 08:00:00	0.29	12.79	287.0	173.0	6.05	0.0	0.0
2025-07-01 08:10:00	0.24	12.79	272.0	89.0	6.95	0.0	0.0
2025-07-01 08:20:00	0.29	12.76	289.0	40.0	6.2	0.0	0.0
2025-07-01 08:30:00	0.26	12.79	284.0	120.0	6.35	0.0	0.0
2025-07-01 08:40:00	0.44	12.77	282.0	35.0	9.98	0.0	0.0
2025-07-01 08:50:00	0.3	12.76	283.0	351.0	7.25	0.0	0.0
2025-07-01 09:00:00	0.35	12.77	272.0	360.0	10.13	0.0	0.0
2025-07-01 09:10:00	0.23	12.77	263.0	173.0	6.95	0.0	0.0
2025-07-01 09:20:00	0.33	12.79	266.0	355.0	11.49	15.0	0.0
2025-07-01 09:30:00	0.29	12.83	262.0	195.0	10.28	26.0	0.0
2025-07-01 09:40:00	0.24	12.85	260.0	329.0	7.41	37.0	0.0
2025-07-01 09:50:00	0.39	12.83	269.0	308.0	7.56	48.0	0.0
2025-07-01 10:00:00	0.32	12.89	258.0	263.0	10.28	123.0	0.0
2025-07-01 10:10:00	0.23	12.97	273.0	177.0	7.1	161.0	0.0
