# Plataforma: Boya CIDMAR-2
# Tipo: Boya Oceanográfica
# Periodo: 2025-05-01 / 2025-05-31
# Generado: 2026-05-07 14:50:50 UTC
# Timestamps: 1194  Variables: 7
# Separador: TAB  |  Valor ausente: NaN
timestamp	Altura de Olas[m]	Batería[V]	Radiación PAR[µmol/m2/s]	Dirección de la corriente[°]	Velocidad de la corriente[m/s]	Dirección de Olas[°]	Periodo de Olas[s]
2025-05-01 12:00:00	0.73	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 12:10:00	0.67	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 12:20:00	0.89	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 12:30:00	0.65	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 12:40:00	0.8	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 12:50:00	0.68	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 13:00:00	0.8	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 13:10:00	0.76	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 13:20:00	1.0	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 13:30:00	0.83	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 13:40:00	0.57	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 13:50:00	0.82	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 14:00:00	0.57	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 14:10:00	0.42	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 14:20:00	0.73	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 14:30:00	0.57	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 14:40:00	0.7	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 14:50:00	0.62	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 15:00:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 15:10:00	0.73	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 15:20:00	0.57	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 15:30:00	0.53	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 15:40:00	0.56	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 15:50:00	0.53	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 16:00:00	0.38	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 16:10:00	0.56	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 16:20:00	0.56	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 16:30:00	0.5	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 16:40:00	0.63	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 16:50:00	0.76	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 17:00:00	0.5	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 17:10:00	0.3	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 17:20:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 17:30:00	0.47	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 17:40:00	0.6	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 17:50:00	0.36	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 18:00:00	0.67	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 18:10:00	0.63	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 18:20:00	0.71	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 18:30:00	0.5	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 18:40:00	0.65	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 18:50:00	0.57	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 19:00:00	0.86	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 19:10:00	0.62	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 19:20:00	0.65	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 19:30:00	0.53	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 19:40:00	0.48	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 19:50:00	0.82	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 20:00:00	0.88	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 20:10:00	0.63	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 20:20:00	0.94	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 20:30:00	0.91	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 20:40:00	0.79	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 20:50:00	0.76	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 21:00:00	0.85	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 21:10:00	0.83	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 21:20:00	0.86	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 21:30:00	0.62	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 21:40:00	0.79	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 21:50:00	0.83	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 22:00:00	0.85	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 22:10:00	0.68	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 22:20:00	0.88	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 22:30:00	0.73	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 22:40:00	0.53	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 22:50:00	0.57	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 23:00:00	0.67	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 23:10:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 23:20:00	0.67	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 23:30:00	0.79	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 23:40:00	0.65	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-01 23:50:00	0.63	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 00:00:00	0.45	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 00:10:00	0.51	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 00:20:00	0.54	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 00:30:00	0.77	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 00:40:00	0.62	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 00:50:00	0.59	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 01:00:00	0.67	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 01:10:00	0.63	NaN	NaN	NaN	NaN	NaN	NaN
2025-05-02 01:20:00	0.57	NaN	NaN	NaN	NaN	NaN	NaN
