# Plataforma: Boya CIDMAR-2
# Tipo: Boya Oceanográfica
# Periodo: 2025-11-01 / 2025-11-30
# Generado: 2026-05-07 14:51:07 UTC
# Timestamps: 4320  Variables: 7
# Separador: TAB  |  Valor ausente: NaN
timestamp	Altura de Olas[m]	Batería[V]	Dirección de la corriente[°]	Dirección de Olas[°]	Periodo de Olas[s]	Radiación PAR[µmol/m2/s]	Velocidad de la corriente[m/s]
2025-11-01 00:00:00	0.97	12.89	322.0	200.0	5.29	0.0	0.0
2025-11-01 00:10:00	0.73	12.86	318.0	233.0	4.53	0.0	0.0
2025-11-01 00:20:00	0.63	12.91	323.0	223.0	4.53	0.0	0.0
2025-11-01 00:30:00	0.73	12.91	339.0	224.0	5.74	0.0	0.0
2025-11-01 00:40:00	0.67	12.89	328.0	244.0	4.53	0.0	0.0
2025-11-01 00:50:00	0.89	12.89	323.0	225.0	5.44	0.0	0.0
2025-11-01 01:00:00	0.67	12.89	318.0	82.0	5.44	0.0	0.0
2025-11-01 01:10:00	0.51	12.88	327.0	165.0	5.44	0.0	0.0
2025-11-01 01:20:00	0.41	12.91	329.0	231.0	4.38	0.0	0.0
2025-11-01 01:30:00	0.76	12.89	320.0	231.0	4.38	0.0	0.0
2025-11-01 01:40:00	0.73	12.86	347.0	257.0	4.84	0.0	0.0
2025-11-01 01:50:00	0.59	12.89	341.0	238.0	5.29	0.0	0.0
2025-11-01 02:00:00	0.8	12.89	329.0	238.0	4.69	0.0	0.0
2025-11-01 02:10:00	0.79	12.86	331.0	220.0	5.89	0.0	0.0
2025-11-01 02:20:00	0.59	12.91	346.0	240.0	4.53	0.0	0.0
2025-11-01 02:30:00	0.57	12.91	335.0	224.0	5.14	0.0	0.0
2025-11-01 02:40:00	0.57	12.88	340.0	190.0	4.69	0.0	0.0
2025-11-01 02:50:00	0.65	12.88	330.0	226.0	5.14	0.0	0.0
2025-11-01 03:00:00	0.57	12.88	319.0	227.0	4.69	0.0	0.0
2025-11-01 03:10:00	0.62	12.85	330.0	259.0	5.29	0.0	0.0
2025-11-01 03:20:00	0.57	12.86	353.0	238.0	6.35	0.0	0.0
2025-11-01 03:30:00	0.6	12.86	348.0	220.0	4.38	0.0	0.0
2025-11-01 03:40:00	0.59	12.83	351.0	235.0	4.69	0.0	0.0
2025-11-01 03:50:00	0.59	12.86	334.0	228.0	4.53	0.0	0.0
2025-11-01 04:00:00	0.65	12.86	342.0	238.0	4.53	0.0	0.0
2025-11-01 04:10:00	0.63	12.83	348.0	237.0	4.84	0.0	0.0
2025-11-01 04:20:00	0.5	12.83	327.0	236.0	4.53	0.0	0.0
2025-11-01 04:30:00	0.56	12.83	336.0	250.0	4.53	0.0	0.0
2025-11-01 04:40:00	0.39	12.8	332.0	230.0	4.08	0.0	0.0
2025-11-01 04:50:00	0.53	12.83	337.0	248.0	4.84	0.0	0.0
2025-11-01 05:00:00	0.82	12.83	341.0	275.0	4.53	0.0	0.0
2025-11-01 05:10:00	0.48	12.8	343.0	257.0	5.14	0.0	0.0
2025-11-01 05:20:00	0.54	12.82	15.0	231.0	4.53	0.0	0.0
2025-11-01 05:30:00	0.74	12.8	335.0	278.0	5.14	0.0	0.0
2025-11-01 05:40:00	0.51	12.77	329.0	250.0	4.99	0.0	0.0
2025-11-01 05:50:00	0.67	12.79	350.0	205.0	4.53	0.0	0.0
2025-11-01 06:00:00	0.57	12.79	342.0	234.0	5.74	0.0	0.0
2025-11-01 06:10:00	0.41	12.76	340.0	207.0	5.29	0.0	0.0
2025-11-01 06:20:00	0.48	12.76	331.0	247.0	4.69	15.0	0.0
2025-11-01 06:30:00	0.5	12.76	346.0	250.0	4.38	26.0	0.0
2025-11-01 06:40:00	0.53	12.76	332.0	224.0	4.53	42.0	0.0
2025-11-01 06:50:00	0.71	12.83	329.0	251.0	4.53	69.0	0.0
2025-11-01 07:00:00	0.63	12.88	335.0	246.0	5.14	134.0	0.0
2025-11-01 07:10:00	0.5	12.94	326.0	217.0	4.23	220.0	0.0
2025-11-01 07:20:00	0.42	13.13	342.0	249.0	4.38	280.0	0.0
2025-11-01 07:30:00	0.5	13.29	330.0	241.0	4.53	220.0	0.0
2025-11-01 07:40:00	0.45	13.42	328.0	226.0	3.78	566.0	0.0
2025-11-01 07:50:00	0.47	13.62	344.0	245.0	4.38	949.0	0.0
2025-11-01 08:00:00	0.71	13.77	353.0	239.0	4.84	652.0	0.0
2025-11-01 08:10:00	0.76	13.75	335.0	231.0	4.84	793.0	0.0
2025-11-01 08:20:00	0.59	13.78	334.0	192.0	6.05	906.0	0.0
2025-11-01 08:30:00	0.63	13.81	329.0	237.0	5.44	658.0	0.0
2025-11-01 08:40:00	0.57	13.92	332.0	218.0	4.99	1414.0	0.0
2025-11-01 08:50:00	0.56	14.02	335.0	198.0	5.29	976.0	0.0
2025-11-01 09:00:00	0.51	14.04	327.0	204.0	5.44	1338.0	0.0
2025-11-01 09:10:00	0.5	14.15	313.0	217.0	4.84	1090.0	0.0
2025-11-01 09:20:00	0.45	14.28	321.0	206.0	4.84	1463.0	0.0
2025-11-01 09:30:00	0.57	14.27	316.0	203.0	4.69	1425.0	0.0
2025-11-01 09:40:00	0.57	14.27	322.0	238.0	5.59	1409.0	0.0
2025-11-01 09:50:00	0.54	14.28	322.0	178.0	6.05	1257.0	0.0
2025-11-01 10:00:00	0.67	14.28	326.0	224.0	4.99	1247.0	0.0
2025-11-01 10:10:00	0.63	14.25	302.0	200.0	4.84	1522.0	0.0
2025-11-01 10:20:00	0.6	14.27	303.0	196.0	5.29	1733.0	0.0
2025-11-01 10:30:00	0.79	14.27	302.0	246.0	5.44	1500.0	0.0
2025-11-01 10:40:00	0.86	14.25	300.0	164.0	5.14	1635.0	0.0
2025-11-01 10:50:00	1.03	14.27	305.0	221.0	5.89	1673.0	0.0
2025-11-01 11:00:00	0.95	14.27	308.0	213.0	6.5	1684.0	0.0
2025-11-01 11:10:00	0.92	14.25	314.0	177.0	6.8	1851.0	0.0
2025-11-01 11:20:00	1.06	14.27	319.0	215.0	5.89	2030.0	0.0
2025-11-01 11:30:00	1.13	14.28	304.0	180.0	6.95	1749.0	0.0
2025-11-01 11:40:00	0.92	14.28	310.0	210.0	5.44	1895.0	0.0
