# Plataforma: Boya CIDMAR-2
# Tipo: Boya Oceanográfica
# Periodo: 2025-04-01 / 2025-04-30
# Generado: 2026-05-07 14:50:49 UTC
# Timestamps: 100  Variables: 1
# Separador: TAB  |  Valor ausente: NaN
timestamp	Altura de Olas[m]
2025-04-30 00:00:00	0.3
2025-04-30 00:10:00	0.26
2025-04-30 00:20:00	0.24
2025-04-30 00:30:00	0.3
2025-04-30 00:40:00	0.27
2025-04-30 00:50:00	0.17
2025-04-30 01:00:00	0.14
2025-04-30 01:10:00	0.21
2025-04-30 01:20:00	0.41
2025-04-30 01:30:00	0.23
2025-04-30 01:40:00	0.14
2025-04-30 01:50:00	0.14
2025-04-30 02:00:00	0.29
2025-04-30 02:10:00	0.27
2025-04-30 02:20:00	0.24
2025-04-30 02:30:00	0.23
2025-04-30 02:40:00	0.33
2025-04-30 02:50:00	0.24
2025-04-30 03:00:00	0.38
2025-04-30 03:10:00	0.26
2025-04-30 03:20:00	0.29
2025-04-30 03:30:00	0.3
2025-04-30 03:40:00	0.27
2025-04-30 03:50:00	0.3
2025-04-30 04:00:00	0.35
2025-04-30 04:10:00	0.3
2025-04-30 04:20:00	0.24
2025-04-30 04:30:00	0.23
2025-04-30 04:40:00	0.38
2025-04-30 04:50:00	0.18
2025-04-30 05:00:00	0.17
2025-04-30 05:10:00	0.36
2025-04-30 09:40:00	0.33
2025-04-30 09:50:00	0.27
2025-04-30 10:10:00	0.3
2025-04-30 10:30:00	0.41
2025-04-30 11:50:00	0.33
2025-04-30 12:00:00	0.3
2025-04-30 12:10:00	0.24
2025-04-30 12:20:00	0.29
2025-04-30 14:00:00	0.29
2025-04-30 14:10:00	0.26
2025-04-30 14:20:00	0.18
2025-04-30 14:30:00	0.2
2025-04-30 14:40:00	0.3
2025-04-30 14:50:00	0.21
2025-04-30 15:00:00	0.27
2025-04-30 15:10:00	0.2
2025-04-30 15:20:00	0.3
2025-04-30 15:30:00	0.21
2025-04-30 15:40:00	0.3
2025-04-30 15:50:00	0.26
2025-04-30 16:00:00	0.29
2025-04-30 16:10:00	0.26
2025-04-30 16:20:00	0.3
2025-04-30 16:30:00	0.38
2025-04-30 16:40:00	0.27
2025-04-30 16:50:00	0.33
2025-04-30 17:00:00	0.29
2025-04-30 17:10:00	0.38
2025-04-30 17:20:00	0.38
2025-04-30 17:30:00	0.33
2025-04-30 17:40:00	0.41
2025-04-30 17:50:00	0.3
2025-04-30 18:00:00	0.33
2025-04-30 18:10:00	0.41
2025-04-30 18:20:00	0.36
2025-04-30 18:30:00	0.23
2025-04-30 18:40:00	0.35
2025-04-30 18:50:00	0.35
2025-04-30 19:00:00	0.21
2025-04-30 19:10:00	0.41
2025-04-30 19:20:00	0.44
2025-04-30 19:30:00	0.39
2025-04-30 19:40:00	0.42
2025-04-30 19:50:00	0.38
2025-04-30 20:00:00	0.47
2025-04-30 20:10:00	0.38
2025-04-30 20:20:00	0.56
2025-04-30 20:30:00	0.7
2025-04-30 20:40:00	0.48
2025-04-30 20:50:00	0.54
2025-04-30 21:00:00	0.39
2025-04-30 21:10:00	0.63
2025-04-30 21:20:00	0.67
2025-04-30 21:30:00	0.7
2025-04-30 21:40:00	0.67
2025-04-30 21:50:00	0.7
2025-04-30 22:00:00	1.09
2025-04-30 22:10:00	0.88
2025-04-30 22:20:00	0.89
2025-04-30 22:30:00	0.91
2025-04-30 22:40:00	0.97
2025-04-30 22:50:00	0.91
2025-04-30 23:00:00	0.91
2025-04-30 23:10:00	1.0
2025-04-30 23:20:00	0.89
2025-04-30 23:30:00	0.94
2025-04-30 23:40:00	0.98
2025-04-30 23:50:00	0.85
