# Plataforma: Mareógrafo - Puerto Comodoro Rivadavia
# Tipo: Mareógrafo
# Periodo: 2025-12-01 / 2025-12-31
# Generado: 2026-05-07 14:51:11 UTC
# Timestamps: 8457  Variables: 1
# Separador: TAB  |  Valor ausente: NaN
timestamp	Nivel del Mar[m]
2025-12-01 00:00:00	4.6
2025-12-01 00:10:00	4.65
2025-12-01 00:20:00	4.67
2025-12-01 00:30:00	4.67
2025-12-01 00:40:00	4.66
2025-12-01 00:50:00	4.64
2025-12-01 01:00:00	4.69
2025-12-01 01:10:00	4.57
2025-12-01 01:20:00	4.49
2025-12-01 01:30:00	4.46
2025-12-01 01:40:00	4.41
2025-12-01 01:50:00	4.33
2025-12-01 02:00:00	4.19
2025-12-01 02:10:00	4.08
2025-12-01 02:20:00	3.97
2025-12-01 02:30:00	3.86
2025-12-01 02:40:00	3.72
2025-12-01 02:50:00	3.59
2025-12-01 03:00:00	3.41
2025-12-01 03:10:00	3.3
2025-12-01 03:20:00	3.16
2025-12-01 03:30:00	3.01
2025-12-01 03:40:00	2.87
2025-12-01 03:50:00	2.72
2025-12-01 04:00:00	2.57
2025-12-01 04:10:00	2.42
2025-12-01 04:20:00	2.3
2025-12-01 04:30:00	2.15
2025-12-01 04:40:00	2.01
2025-12-01 04:50:00	1.91
2025-12-01 05:00:00	1.81
2025-12-01 05:10:00	1.69
2025-12-01 05:20:00	1.61
2025-12-01 05:30:00	1.52
2025-12-01 05:40:00	1.45
2025-12-01 05:50:00	1.39
2025-12-01 06:00:00	1.35
2025-12-01 06:10:00	1.32
2025-12-01 06:20:00	1.27
2025-12-01 06:30:00	1.25
2025-12-01 06:40:00	1.24
2025-12-01 06:50:00	1.25
2025-12-01 07:00:00	1.26
2025-12-01 07:10:00	1.26
2025-12-01 07:20:00	1.29
2025-12-01 07:30:00	1.33
2025-12-01 07:40:00	1.38
2025-12-01 07:50:00	1.45
2025-12-01 08:00:00	1.52
2025-12-01 08:10:00	1.59
2025-12-01 08:20:00	1.66
2025-12-01 08:30:00	1.79
2025-12-01 08:40:00	1.9
2025-12-01 08:50:00	2.01
2025-12-01 09:00:00	2.13
2025-12-01 09:10:00	2.28
2025-12-01 09:20:00	2.45
2025-12-01 09:30:00	2.59
2025-12-01 09:40:00	2.76
2025-12-01 09:50:00	2.93
2025-12-01 10:00:00	3.17
2025-12-01 10:10:00	3.34
2025-12-01 10:20:00	3.48
2025-12-01 10:28:00	3.64
2025-12-01 10:30:00	3.67
2025-12-01 10:38:00	3.81
2025-12-01 10:40:00	3.85
2025-12-01 10:48:00	3.97
2025-12-01 10:50:00	3.99
2025-12-01 10:58:00	4.13
2025-12-01 11:00:00	4.17
2025-12-01 11:08:00	4.31
2025-12-01 11:10:00	4.34
2025-12-01 11:18:00	4.41
2025-12-01 11:20:00	4.45
2025-12-01 11:28:00	4.61
2025-12-01 11:30:00	4.61
2025-12-01 11:34:00	4.64
2025-12-01 11:40:00	4.71
2025-12-01 11:44:00	4.75
2025-12-01 11:50:00	4.81
2025-12-01 11:54:00	4.87
2025-12-01 12:00:00	4.93
2025-12-01 12:04:00	4.97
2025-12-01 12:10:00	4.99
2025-12-01 12:14:00	4.99
2025-12-01 12:20:00	5.03
2025-12-01 12:24:00	5.09
2025-12-01 12:30:00	5.11
2025-12-01 12:34:00	5.13
2025-12-01 12:40:00	5.15
2025-12-01 12:44:00	5.18
2025-12-01 12:50:00	5.19
2025-12-01 12:56:00	5.2
2025-12-01 13:00:00	5.19
2025-12-01 13:06:00	5.19
2025-12-01 13:10:00	5.19
2025-12-01 13:16:00	5.17
2025-12-01 13:20:00	5.15
2025-12-01 13:26:00	5.14
2025-12-01 13:30:00	5.12
2025-12-01 13:36:00	5.09
2025-12-01 13:40:00	5.07
2025-12-01 13:46:00	5.05
2025-12-01 13:50:00	5.04
2025-12-01 13:56:00	4.98
2025-12-01 14:00:00	4.94
2025-12-01 14:06:00	4.9
2025-12-01 14:10:00	4.86
2025-12-01 14:16:00	4.8
2025-12-01 14:20:00	4.77
2025-12-01 14:26:00	4.69
2025-12-01 14:30:00	4.64
2025-12-01 14:38:00	4.52
2025-12-01 14:40:00	4.49
2025-12-01 14:48:00	4.37
2025-12-01 14:50:00	4.34
2025-12-01 14:58:00	4.22
2025-12-01 15:00:00	4.19
2025-12-01 15:08:00	4.07
2025-12-01 15:10:00	4.04
2025-12-01 15:18:00	3.9
2025-12-01 15:20:00	3.87
2025-12-01 15:28:00	3.75
2025-12-01 15:30:00	3.72
2025-12-01 15:38:00	3.6
2025-12-01 15:40:00	3.57
2025-12-01 15:44:00	3.5
2025-12-01 15:50:00	3.41
2025-12-01 15:54:00	3.36
2025-12-01 16:00:00	3.26
2025-12-01 16:04:00	3.18
2025-12-01 16:10:00	3.07
2025-12-01 16:14:00	3.0
2025-12-01 16:20:00	2.9
2025-12-01 16:24:00	2.85
2025-12-01 16:30:00	2.79
2025-12-01 16:34:00	2.75
2025-12-01 16:40:00	2.62
2025-12-01 16:44:00	2.57
2025-12-01 16:50:00	2.5
2025-12-01 16:54:00	2.45
2025-12-01 17:00:00	2.38
2025-12-01 17:06:00	2.32
2025-12-01 17:10:00	2.24
2025-12-01 17:16:00	2.15
2025-12-01 17:20:00	2.11
2025-12-01 17:26:00	2.05
2025-12-01 17:30:00	2.01
2025-12-01 17:36:00	1.97
2025-12-01 17:40:00	1.93
2025-12-01 17:46:00	1.86
2025-12-01 17:50:00	1.82
2025-12-01 17:56:00	1.78
2025-12-01 18:00:00	1.77
2025-12-01 18:06:00	1.74
2025-12-01 18:10:00	1.72
2025-12-01 18:16:00	1.68
2025-12-01 18:20:00	1.65
2025-12-01 18:26:00	1.63
2025-12-01 18:30:00	1.6
2025-12-01 18:36:00	1.56
2025-12-01 18:40:00	1.56
2025-12-01 18:46:00	1.56
2025-12-01 18:50:00	1.54
2025-12-01 18:58:00	1.53
2025-12-01 19:00:00	1.53
2025-12-01 19:08:00	1.5
2025-12-01 19:10:00	1.51
2025-12-01 19:18:00	1.53
2025-12-01 19:20:00	1.53
2025-12-01 19:28:00	1.55
2025-12-01 19:30:00	1.54
2025-12-01 19:38:00	1.53
